bus_id,bus_register_no,bus_model_id,perkhidmatan,tarikh_daftar,bus_lastupdate,lease_from,disabled_friendly,ev_bus,ssu_remark,cbts_vech_lcns_id,bus_size_id,tankc_code,engine_capacity_id,type_of_status_id,bus_age,end_of_service_date,vehicle_type
18,WSP1234,0,RAPID,0000-00-00,45736.59869,,,,,,0,0,0,,,,bus
27,W1826T,0,RAPID,0000-00-00,45736.59869,,,,,,0,0,0,,,,bus
28,W8090U,0,RAPID,0000-00-00,45736.59869,,,,,,0,0,0,,,,bus
29,WA1234A,0,RAPID,0000-00-00,45736.59869,,,,,,0,0,0,,,,bus
30,WA4321B,0,RAPID,0000-00-00,45736.59869,,,,,,0,0,0,,,,bus
32,POC0003,0,RAPID,0000-00-00,45736.59869,,,,,,0,0,0,,,,bus
33,WES7033,0,RAPID,35225,45736.59869,,,,,,0,0,0,,,,bus
34,WEV6895,0,RAPID,35283,45736.59869,,,,,,0,0,0,,,,bus
35,WEX4773,0,RAPID,35317,45736.59869,,,,,,0,0,0,,,,bus
36,WFD6605,0,RAPID,35394,45736.59869,,,,,,0,0,0,,,,bus
37,WFH4070,0,RAPID,35447,45736.59869,,,,,,0,0,0,,,,bus
38,WFH8864,0,RAPID,35454,45736.59869,,,,,,0,0,0,,,,bus
39,WFK6727,0,RAPID,35487,45736.59869,,,,,,0,0,0,,,,bus
40,WFP7104,0,RAPID,35546,45736.59869,,,,,,0,0,0,,,,bus
41,WFW4624,0,RAPID,35647,45736.59869,,,,,,0,0,0,,,,bus
42,WFX7330,16,RAPID,35664,45736.59869,,,,,,0,0,0,,,,bus
43,WFY7107,0,RAPID,35678,45736.59869,,,,,,0,0,0,,,,bus
44,WGC1644,0,RAPID,35712,45736.59869,,,,,,0,0,0,,,,bus
45,WGG3029,0,RAPID,35787,45736.59869,,,,,,0,0,0,,,,bus
46,WGH9022,0,RAPID,35852,45736.59869,,,,,,0,0,0,,,,bus
47,WGJ586,0,RAPID,35857,45736.59869,,,,,,0,0,0,,,,bus
48,WPH7496,19,RAPID,38946,45736.59869,,,,,,0,0,0,,,,bus
49,WPH7504,19,RAPID,38946,45736.59869,,,,,,0,0,0,,,,bus
50,WPH7515,19,RAPID,38946,45736.59868,,,,,,0,0,0,,,,bus
52,WPH9054,19,RAPID,38947,45736.59868,,,,,,0,0,0,,,,bus
53,WPH9746,19,RAPID,38950,45736.59868,,,,,,0,0,0,,,,bus
55,WPH9847,19,RAPID,38950,45736.59868,,,,,,0,0,0,,,,bus
56,WPJ1769,19,RAPID,38952,45736.59868,,,,,,0,0,0,,,,bus
57,WPJ3674,19,RAPID,38953,45736.59868,,,,,,0,0,0,,,,bus
58,WPJ3679,19,RAPID,38953,45736.59868,,,,,,0,0,0,,,,bus
59,WPJ4166,19,RAPID,38954,45736.59868,,,,,,0,0,0,,,,bus
60,WPJ4214,19,RAPID,38954,45736.59868,,,,,,0,0,0,,,,bus
61,WPJ4219,19,RAPID,38954,45736.59868,,,,,,0,0,0,,,,bus
62,WPJ4225,19,RAPID,38954,45736.59868,,,,,,0,0,0,,,,bus
63,WPJ4250,19,RAPID,38954,45736.59868,,,,,,0,0,0,,,,bus
64,WPJ4857,19,RAPID,38957,45736.59868,,,,,,0,0,0,,,,bus
65,WPJ538,19,RAPID,38951,45736.59868,,,,,,0,0,0,,,,bus
66,WPJ540,19,RAPID,38951,45736.59868,,,,,,0,0,0,,,,bus
67,WPJ542,19,RAPID,38951,45736.59868,,,,,,0,0,0,,,,bus
68,WPJ9279,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
69,WPJ9301,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
70,WPJ9302,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
71,WPJ9304,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
72,WPJ9308,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
73,WPJ9317,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
74,WPJ9321,19,RAPID,38961,45736.59868,,,,,,0,0,0,,,,bus
75,WPJ9324,19,RAPID,38961,45736.59867,,,,,,0,0,0,,,,bus
76,WPJ9337,19,RAPID,38961,45736.59867,,,,,,0,0,0,,,,bus
77,WPJ9343,19,RAPID,38961,45736.59867,,,,,,0,0,0,,,,bus
78,WPK4200,19,RAPID,38968,45736.59867,,,,,,0,0,0,,,,bus
79,WPK4206,19,RAPID,38978,45736.59867,,,,,,0,0,0,,,,bus
80,WPK4210,19,RAPID,38968,45736.59867,,,,,,0,0,0,,,,bus
81,WPK4641,19,RAPID,38968,45736.59867,,,,,,0,0,0,,,,bus
82,WPK4656,19,RAPID,38968,45736.59867,,,,,,0,0,0,,,,bus
83,WPK4672,19,RAPID,38968,45736.59867,,,,,,0,0,0,,,,bus
84,WPK4926,19,RAPID,38971,45736.59867,,,,,,0,0,0,,,,bus
85,WPK4932,19,RAPID,38971,45736.59867,,,,,,0,0,0,,,,bus
86,WPK4933,19,RAPID,38971,45736.59867,,,,,,0,0,0,,,,bus
87,WPK4936,19,RAPID,38971,45736.59867,,,,,,0,0,0,,,,bus
88,WPK4939,19,RAPID,38971,45736.59867,,,,,,0,0,0,,,,bus
89,WPK4943,19,RAPID,38971,45736.59867,,,,,,0,0,0,,,,bus
90,WPK503,19,RAPID,38964,45736.59867,,,,,,0,0,0,,,,bus
91,WPK507,19,RAPID,38964,45736.59867,,,,,,0,0,0,,,,bus
92,WPK510,19,RAPID,38964,45736.59867,,,,,,0,0,0,,,,bus
93,WPK6234,19,RAPID,38972,45736.59867,,,,,,0,0,0,,,,bus
94,WPK6243,19,RAPID,38972,45736.59866,,,,,,0,0,0,,,,bus
95,WPK6247,19,RAPID,38972,45736.59866,,,,,,0,0,0,,,,bus
96,WPK6359,19,RAPID,38972,45736.59866,,,,,,0,0,0,,,,bus
97,WPK6392,19,RAPID,38972,45736.59866,,,,,,0,0,0,,,,bus
98,WPX1097,5,RAPID,39148,45736.59866,,,,,,0,0,0,,,,bus
99,WPX1120,5,RAPID,39148,45736.59866,,,,,,0,0,0,,,,bus
100,WPX1131,5,RAPID,39148,45736.59866,,,,,,0,0,0,,,,bus
101,WPX1142,5,RAPID,39148,45736.59866,,,,,,0,0,0,,,,bus
102,WPX4229,5,RAPID,39154,45736.59866,,,,,,0,0,0,,,,bus
103,WPX4237,5,RAPID,39154,45736.59866,,,,,,0,0,0,,,,bus
104,WPX4241,5,RAPID,39154,45736.59866,,,,,,0,0,0,,,,bus
105,WPX4243,5,RAPID,39154,45736.59866,,,,,,0,0,0,,,,bus
106,WPX4244,5,RAPID,39154,45736.59866,,,,,,0,0,0,,,,bus
107,WPY7715,5,RAPID,39171,45736.59866,,,,,,0,0,0,,,,bus
108,WPY7751,5,RAPID,39171,45736.59866,,,,,,3,9,4,4,,45155,bus
109,WPY7758,5,RAPID,39171,45736.59866,,,,,,0,0,0,,,,bus
110,WQA1063,5,RAPID,39177,45736.59866,,,,,,0,0,0,,,,bus
111,WQA120,5,RAPID,39176,45736.59866,,,,OPEN DATE,,0,0,0,,,,bus
112,WQA1334,5,RAPID,39177,45736.59866,,,,,,0,0,0,,,,bus
113,WQA1351,5,RAPID,39177,45736.59866,,,,,,0,0,0,,,,bus
114,WQA142,5,RAPID,39176,45736.59866,,,,,,0,0,0,,,,bus
115,WQA1935,5,RAPID,39178,45736.59866,,,,,,0,0,0,,,,bus
116,WQA1942,5,RAPID,39178,45736.59866,,,,,,0,0,0,,,,bus
117,WQA1949,5,RAPID,39178,45736.59865,,,,,,0,0,0,,,,bus
118,WQA3137,5,RAPID,39181,45736.59865,,,,,,0,0,0,,,,bus
119,WQA3142,5,RAPID,39181,45736.59865,,,,,,0,0,0,,,,bus
120,WQA3216,5,RAPID,39181,45736.59865,,,,,,0,0,0,,,,bus
121,WQA3648,5,RAPID,39182,45736.59865,,,,OPEN DATE,,0,0,0,,,,bus
122,WQA5704,5,RAPID2,39185,45736.59865,,,,Open Date,,3,9,4,4,,45436,bus
123,WQA5709,5,RAPID2,39185,45736.59865,,,,Open Date,,3,9,4,4,,45436,bus
124,WQA667,5,RAPID,39176,45736.59865,,,,,,0,0,0,,,,bus
125,WQA681,5,RAPID,39176,45736.59865,,,,,,0,0,0,,,,bus
126,WQA695,5,RAPID,39176,45736.59865,,,,OPEN DATE,,0,0,0,,,,bus
127,WQA7091,5,RAPID,39188,45736.59865,,,,,,0,0,0,,,,bus
128,WQA7095,5,RAPID2,39188,45736.59865,,,,,,3,9,4,4,,45411,bus
129,WQA7101,5,RAPID,39188,45736.59865,,,,,,0,0,0,,,,bus
130,WQA7103,5,RAPID,39188,45736.59865,,,,OPEN DATE,,0,0,0,,,,bus
131,WQA7112,5,RAPID,39188,45736.59865,,,,,,0,0,0,,,,bus
132,WQB1482,5,RAPID,39192,45736.59865,,,,,,0,0,0,,,,bus
133,WQB1858,5,RAPID,39192,45736.59865,,,,,,0,0,0,,,,bus
134,WQB1861,5,RAPID,39192,45736.59865,,,,,,0,0,0,,,,bus
136,WQB2090,5,RAPID,39195,45736.59865,,,,,,0,0,0,,,,bus
137,WQB2096,5,RAPID,39195,45736.59865,,,,,,0,0,0,,,,bus
138,WQB2103,5,RAPID,39195,45736.59865,,,,,,0,0,0,,,,bus
139,WQB278,5,RAPID,39191,45736.59865,,,,,,0,0,0,,,,bus
140,WQB290,5,RAPID,39191,45736.59865,,,,,,0,0,0,,,,bus
141,WQB3092,5,RAPID,39196,45736.59865,,,,,,0,0,0,,,,bus
142,WQB3094,5,RAPID,39196,45736.59865,,,,,,0,0,0,,,,bus
143,WQB3097,5,RAPID,39196,45736.59865,,,,,,0,0,0,,,,bus
144,WQB3120,5,RAPID,39196,45736.59865,,,,,,0,0,0,,,,bus
145,WQB3124,5,RAPID,39196,45736.59863,,,,,,0,0,0,,,,bus
146,WQB314,5,RAPID,39191,45736.59863,,,,,,0,0,0,,,,bus
147,WQB3142,5,RAPID,39196,45736.59863,,,,,,0,0,0,,,,bus
148,WQB315,5,RAPID,39191,45736.59863,,,,OPEN DATE,,0,0,0,,,,bus
149,WQB3466,5,RAPID,39196,45736.59863,,,,,,0,0,0,,,,bus
150,WQB3483,5,RAPID2,39196,45736.59863,,,,Open Date,,3,9,4,4,,45436,bus
151,WQB7795,5,RAPID,39205,45736.59863,,,,OPEN DATE,,0,0,0,,,,bus
152,WQC1840,5,RAPID,39211,45736.59863,,,,,,0,0,0,,,,bus
153,WQC1844,5,RAPID,39211,45736.59863,,,,,,0,0,0,,,,bus
154,WQC1845,5,RAPID,39211,45736.59863,,,,,,0,0,0,,,,bus
155,WQC2646,5,RAPID,39212,45736.59863,,,,OPEN DATE,,0,0,0,,,,bus
156,WQC2655,5,RAPID,39212,45736.59863,,,,,,0,0,0,,,,bus
157,WQC694,5,RAPID,39210,45736.59863,,,,,,0,0,0,,,,bus
158,WQC695,5,RAPID,39210,45736.59863,,,,,,0,0,0,,,,bus
159,WQC697,5,RAPID,39210,45736.59863,,,,,,0,0,0,,,,bus
160,WQC698,5,RAPID,39210,45736.59863,,,,,,0,0,0,,,,bus
161,WQC702,5,RAPID,39210,45736.59863,,,,,,0,0,0,,,,bus
162,WQE2117,5,RAPID,39240,45736.59863,,,,,,0,0,0,,,,bus
163,WQE2135,5,RAPID,39240,45736.59863,,,,,,0,0,0,,,,bus
164,WQE2143,5,RAPID,39240,45736.59863,,,,,,3,9,4,,,,bus
165,WQE2145,5,RAPID,39240,45736.59863,,,,,,0,0,0,,,,bus
166,WQE2148,5,RAPID,39606,45736.59863,,,,,,0,0,0,,,,bus
168,WQE2150,5,RAPID,39240,45736.59863,,,,,,0,0,0,,,,bus
